,Content ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Score,Day,Month,Year
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2020-11-07 09:43:00,photo,Studying,negative,0,Saturday,11,2020
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-01-06 19:13:00,photo,Studying,negative,0,Wednesday,1,2021
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-04-09 02:46:00,photo,Studying,negative,0,Friday,4,2021
3,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,2021-03-28 21:15:00,photo,Healthy Eating,negative,0,Sunday,3,2021
4,230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,2020-08-04 05:40:00,photo,Healthy Eating,negative,0,Tuesday,8,2020
5,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,2021-01-14 07:21:00,video,dogs,negative,0,Thursday,1,2021
6,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,2021-01-13 23:35:00,video,dogs,negative,0,Wednesday,1,2021
7,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,2021-02-11 20:10:00,video,dogs,negative,0,Thursday,2,2021
8,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,2021-05-27 01:44:00,photo,Public speaking,negative,0,Thursday,5,2021
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,2021-02-13 04:14:00,photo,Public speaking,negative,0,Saturday,2,2021
10,5118e9c5-1377-4cc5-a486-65b35b7b7b76,disgust,2020-11-07 08:49:00,GIF,Science,negative,0,Saturday,11,2020
11,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,2021-03-31 15:51:00,GIF,tennis,negative,0,Wednesday,3,2021
12,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,2020-09-11 16:22:00,GIF,tennis,negative,0,Friday,9,2020
13,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,2020-10-13 16:31:00,GIF,tennis,negative,0,Tuesday,10,2020
14,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,2020-07-23 19:31:00,GIF,tennis,negative,0,Thursday,7,2020
15,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,2020-12-08 13:12:00,video,Food,negative,0,Tuesday,12,2020
16,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,2021-01-05 13:15:00,video,Food,negative,0,Tuesday,1,2021
17,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,2020-11-08 02:43:00,video,Food,negative,0,Sunday,11,2020
18,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,2021-04-19 01:45:00,video,Food,negative,0,Monday,4,2021
19,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,2020-10-18 12:49:00,video,Food,negative,0,Sunday,10,2020
20,7ffd0a82-4a0a-4527-a4d6-e251b756bac7,disgust,2021-02-08 03:28:00,GIF,Fitness,negative,0,Monday,2,2021
21,f332d362-dc48-46c2-a64b-641157c0987e,disgust,2021-02-15 20:35:00,GIF,Soccer,negative,0,Monday,2,2021
22,a2e93b29-9259-4092-a4d7-62d5e823bb74,disgust,2021-06-09 09:41:00,video,Public speaking,negative,0,Wednesday,6,2021
23,a2e93b29-9259-4092-a4d7-62d5e823bb74,disgust,2020-12-26 06:13:00,video,Public speaking,negative,0,Saturday,12,2020
24,a2e93b29-9259-4092-a4d7-62d5e823bb74,disgust,2021-06-15 17:31:00,video,Public speaking,negative,0,Tuesday,6,2021
25,9b3a6d30-48e8-476c-82be-9031524bd04d,disgust,2020-11-21 03:14:00,video,Food,negative,0,Saturday,11,2020
26,9b3a6d30-48e8-476c-82be-9031524bd04d,disgust,2021-01-01 11:23:00,video,Food,negative,0,Friday,1,2021
27,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,2021-04-10 09:41:00,video,tennis,negative,0,Saturday,4,2021
28,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,2020-12-14 12:53:00,video,tennis,negative,0,Monday,12,2020
29,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,2020-10-06 10:20:00,video,tennis,negative,0,Tuesday,10,2020
30,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,2020-08-27 15:08:00,video,tennis,negative,0,Thursday,8,2020
31,baa2db00-81ba-4c34-b17d-dd950bfa133b,disgust,2020-09-13 08:14:00,GIF,Soccer,negative,0,Sunday,9,2020
32,baa2db00-81ba-4c34-b17d-dd950bfa133b,disgust,2020-08-19 03:04:00,GIF,Soccer,negative,0,Wednesday,8,2020
33,baa2db00-81ba-4c34-b17d-dd950bfa133b,disgust,2021-03-09 21:30:00,GIF,Soccer,negative,0,Tuesday,3,2021
34,f98dde71-ce1d-4f6c-bb05-ae05779d2207,disgust,2020-12-12 23:02:00,GIF,Soccer,negative,0,Saturday,12,2020
35,f98dde71-ce1d-4f6c-bb05-ae05779d2207,disgust,2021-03-30 23:01:00,GIF,Soccer,negative,0,Tuesday,3,2021
